,symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
symboling,0,0.01921774,-0.023260049,-0.016400719,-0.010370478,-0.027439067,-0.011453537,-0.004140405,-0.006267821,-0.000323175,-0.011037608,0.002927734,0.013270333,-0.001621366,0.001561958,-0.003999278
normalized-losses,0.01921774,0,-0.001645834,0.000586686,0.002496539,-0.012520746,0.003275875,0.00289314,-0.000939104,0.001360564,-0.004715828,0.005556304,0.007677417,-0.006593693,-0.005357172,0.004341722
wheel-base,-0.023260049,-0.001645834,0,0.028273441,0.024955339,0.021071785,0.027529386,0.015706756,0.016600343,0.004219469,0.010886593,0.010174606,-0.012328616,-0.015008174,-0.017310363,0.01999954
length,-0.016400719,0.000586686,0.028273441,0,0.027687858,0.018411432,0.032643238,0.019773672,0.021604238,0.003561561,0.007241546,0.016810936,-0.010289785,-0.022450485,-0.023514561,0.024567028
width,-0.010370478,0.002496539,0.024955339,0.027687858,0,0.01016375,0.031304799,0.020659684,0.01933783,0.004883672,0.008038377,0.01890391,-0.007651833,-0.020879306,-0.021939523,0.025446683
height,-0.027439067,-0.012520746,0.021071785,0.018411432,0.01016375,0,0.012155874,0.002148653,0.006740302,-0.001683119,0.013204612,-0.003692881,-0.012709676,-0.001799877,-0.00396168,0.005345519
curb-weight,-0.011453537,0.003275875,0.027529386,0.032643238,0.031304799,0.012155874,0,0.02699625,0.025338366,0.005090597,0.007589234,0.024975077,-0.010470436,-0.027799616,-0.02918845,0.032384285
engine-size,-0.004140405,0.00289314,0.015706756,0.019773672,0.020659684,0.002148653,0.02699625,0,0.017747865,0.004765876,0.001130201,0.020977651,-0.0074831,-0.018666414,-0.019292758,0.026452766
bore,-0.006267821,-0.000939104,0.016600343,0.021604238,0.01933783,0.006740302,0.025338366,0.017747865,0,-0.001615192,0.000249775,0.018340542,-0.009595271,-0.020549387,-0.020579454,0.020116058
stroke,-0.000323175,0.001360564,0.004219469,0.003561561,0.004883672,-0.001683119,0.005090597,0.004765876,-0.001615192,0,0.006899297,0.002170358,-0.001943349,-0.001144633,-0.001189675,0.002394786
compression-ratio,-0.011037608,-0.004715828,0.010886593,0.007241546,0.008038377,0.013204612,0.007589234,0.001130201,0.000249775,0.006899297,0,-0.008410246,-0.021069273,0.014648572,0.01193111,0.003442618
horsepower,0.002927734,0.005556304,0.010174606,0.016810936,0.01890391,-0.003692881,0.024975077,0.020977651,0.018340542,0.002170358,-0.008410246,0,0.004198603,-0.024033537,-0.023004244,0.024378916
peak-rpm,0.013270333,0.007677417,-0.012328616,-0.010289785,-0.007651833,-0.012709676,-0.010470436,-0.0074831,-0.009595271,-0.001943349,-0.021069273,0.004198603,0,-0.004023449,-0.001914248,-0.003835503
city-mpg,-0.001621366,-0.006593693,-0.015008174,-0.022450485,-0.020879306,-0.001799877,-0.027799616,-0.018666414,-0.020549387,-0.001144633,0.014648572,-0.024033537,-0.004023449,0,0.031988859,-0.02369362
highway-mpg,0.001561958,-0.005357172,-0.017310363,-0.023514561,-0.021939523,-0.00396168,-0.02918845,-0.019292758,-0.020579454,-0.001189675,0.01193111,-0.023004244,-0.001914248,0.031988859,0,-0.024444827
price,-0.003999278,0.004341722,0.01999954,0.024567028,0.025446683,0.005345519,0.032384285,0.026452766,0.020116058,0.002394786,0.003442618,0.024378916,-0.003835503,-0.02369362,-0.024444827,0
,0.032643238,,,,,,,,,,,,,,,
,0.032384285,,,,,,,,,,,,,,,
,0.031988859,,,,,,,,,,,,,,,
,0.031304799,,,,,,,,,,,,,,,
,0.028273441,,,,,,,,,,,,,,,
